Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,"Herbert, Frank",,"=""0441328008""","=""9780441328000""",4,3.86,Ace Books,Mass Market Paperback,471,1987,1984,2012/08/17,2014/02/24,,,read,,,,1,,,0,,,,,
42432,God Emperor of Dune (Dune Chronicles #4),Frank Herbert,"Herbert, Frank",,"=""0575075066""","=""9780575075061""",4,3.84,Victor Gollancz,Paperback,454,2003,1981,2012/08/17,2014/02/24,,,read,,,,1,,,0,,,,,
112,Children of Dune (Dune Chronicles #3),Frank Herbert,"Herbert, Frank",,"=""""","=""""",4,3.93,Ace Books,Mass Market Paperback,408,1987,1976,2012/08/13,2014/02/24,,,read,,,,1,,,0,,,,,
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,"Herbert, Frank",,"=""0441172695""","=""9780441172696""",4,3.88,Ace Books,Mass Market Paperback,331,1987,1969,2012/08/09,2014/02/24,,,read,,,,1,,,0,,,,,
13497818,The Casual Vacancy,J.K. Rowling,"Rowling, J.K.",,"=""0316228532""","=""9780316228534""",3,3.30,"Little, Brown and Company",Hardcover,503,2012,2012,2012/09/27,2014/02/24,,,read,,,,1,,,0,,,,,
13324841,"Son (The Giver Quartet, #4)",Lois Lowry,"Lowry, Lois",,"=""0547887205""","=""9780547887203""",4,3.99,HMH Books for Young Readers,Hardcover,393,2012,2012,2012/10/01,2014/02/24,,,read,,,,1,,,0,,,,,
249831,Night Witches: The Amazing Story of Russia's Women Pilots in WWII,Bruce Myles,"Myles, Bruce",,"=""0897332881""","=""9780897332880""",0,4.17,Academy Chicago Publishers,Paperback,272,1990,1981,,2014/02/24,to-read,to-read (#41),to-read,,,,0,,,0,,,,,
43887,"Chainfire (Sword of Truth, #9)",Terry Goodkind,"Goodkind, Terry",,"=""0765344319""","=""9780765344311""",3,3.95,Tor Fantasy,Mass Market Paperback,756,2005,2005,2012/12/28,2014/02/24,,,read,,,,1,,,0,,,,,
43893,"Naked Empire (Sword of Truth, #8)",Terry Goodkind,"Goodkind, Terry",,"=""0765344300""","=""9780765344304""",3,3.81,Tor Books,Mass Market Paperback,736,2004,2004,2012/12/27,2014/02/24,,,read,,,,1,,,0,,,,,
5038,"The Pillars of Creation (Sword of Truth, #7)",Terry Goodkind,"Goodkind, Terry",,"=""0765340747""","=""9780765340740""",3,3.68,Tor Books,Mass Market Paperback,725,2002,2002,2012/12/23,2014/02/24,,,read,,,,1,,,0,,,,,
121127,"Faith of the Fallen (Sword of Truth, #6)",Terry Goodkind,"Goodkind, Terry",,"=""081257639X""","=""9780812576399""",3,4.10,Tor,Mass Market Paperback,785,2001,2001,2012/12/23,2014/02/24,,,read,,,,1,,,0,,,,,
761732,"Soul of the Fire (Sword of Truth, #5)",Terry Goodkind,"Goodkind, Terry",,"=""0812551494""","=""9780812551495""",4,3.86,Tor Books,Mass Market Paperback,788,2000,1999,2012/12/21,2014/02/24,,,read,,,,1,,,0,,,,,
253058,"Temple of the Winds (Sword of Truth, #4)",Terry Goodkind,"Goodkind, Terry",Dick Hill,"=""""","=""""",4,4.03,Brilliance Audio,Audio CD,822,2007,1998,2012/12/12,2014/02/24,,,read,,,,1,,,0,,,,,
43892,"Blood of the Fold (Sword of Truth, #3)",Terry Goodkind,"Goodkind, Terry",,"=""0812551478""","=""9780812551471""",5,3.99,Tor Books,Mass Market Paperback,623,1997,1996,2012/11/25,2014/02/24,,,read,,,,1,,,0,,,,,
234184,"Stone of Tears (Sword of Truth, #2)",Terry Goodkind,"Goodkind, Terry",,"=""0312857063""","=""9780312857066""",5,4.11,Tor Books,Hardcover,703,1995,1995,2012/11/23,2014/02/24,,,read,,,,1,,,0,,,,,
43889,"Wizard's First Rule (Sword of Truth, #1)",Terry Goodkind,"Goodkind, Terry",,"=""0765346524""","=""9780765346520""",5,4.13,Tor Books,Paperback,836,2003,1994,2012/10/26,2014/02/24,,,read,,,,1,,,0,,,,,
