Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Recommended For,Recommended By,Owned Copies,Original Purchase Date,Original Purchase Location,Condition,Condition Description,BCID
11389341,The Meaning of Marriage: Facing the Complexities of Commitment with the Wisdom of God,Timothy J. Keller,"Keller, Timothy J.",Kathy  Keller,"=""0525952470""","=""9780525952473""",4,4.47,Dutton Adult ,Hardcover,288,2011,2011,2017/02/25,2014/10/14,,,read,,,,1,,,0,,,,,
19150944,Simplify: Ten Practices to Unclutter Your Soul,Bill Hybels,"Hybels, Bill",,"=""1414391226""","=""9781414391229""",4,4.02,Tyndale Momentum,Hardcover,320,2014,2014,2017/02/25,2014/10/14,,,read,,,,1,,,0,,,,,
11138,Mere Christianity,C.S. Lewis,"Lewis, C.S.",,"=""0684823780""","=""9780684823782""",5,4.32,Touchstone Books,Paperback,191,1996,1952,,2014/10/14,,,read,,,,1,,,0,,,,,
9058791,Methods Matter: Improving Causal Inference in Educational and Social Science Research,Richard J. Murnane,"Murnane, Richard J.",John Willett,"=""0199753865""","=""9780199753864""",0,4.22,"Oxford University Press, USA",Hardcover,397,2010,2010,,2014/10/14,to-read,to-read (#11),to-read,,,,0,,,0,,,,,
10813180,The Other Side of Normal: How Biology Is Providing the Clues to Unlock the Secrets of Normal and Abnormal Behavior,Jordan Smoller,"Smoller, Jordan",,"=""0061492191""","=""9780061492198""",0,3.96,William Morrow,Hardcover,390,2012,2012,,2014/10/14,to-read,to-read (#10),to-read,,,,0,,,0,,,,,
2527900,"Nudge: Improving Decisions About Health, Wealth, and Happiness",Richard H. Thaler,"Thaler, Richard H.","Cass R. Sunstein, Vương Bảo Long","=""0300122233""","=""9780300122237""",0,3.84,Yale University Press,Hardcover,304,2008,2008,,2014/10/14,to-read,to-read (#8),to-read,,,,0,,,0,,,,,
15824352,"Sidetracked: Why Our Decisions Get Derailed, and How We Can Stick to the Plan",Francesca Gino,"Gino, Francesca",,"=""1422142698""","=""9781422142691""",0,3.52,Harvard Business Review Press,Hardcover,260,2013,2013,,2014/10/14,to-read,to-read (#9),to-read,,,,0,,,0,,,,,
829616,Lateral Thinking,Edward de Bono,"Bono, Edward de",,"=""0140137793""","=""9780140137798""",4,3.80,Penguin UK,Paperback,272,1991,1970,,2014/10/14,,,read,,,,1,,,0,,,,,
69242,Made to Stick: Why Some Ideas Survive and Others Die,Chip Heath,"Heath, Chip",Dan Heath,"=""1400064287""","=""9781400064281""",0,3.95,Random House,Hardcover,291,2007,2006,,2014/10/14,to-read,to-read (#7),to-read,,,,0,,,0,,,,,
7815744,The Upside of Irrationality: The Unexpected Benefits of Defying Logic at Work and at Home,Dan Ariely,"Ariely, Dan",,"=""0061995037""","=""9780061995033""",0,4.03,Harper,Hardcover,334,2010,2010,,2014/10/14,to-read,to-read (#6),to-read,,,,0,,,0,,,,,
357636,Civilization and Its Discontents,Sigmund Freud,"Freud, Sigmund","James Strachey, Peter Gay","=""0393301583""","=""9780393301588""",3,3.78,W. W. Norton  Company,Paperback,127,1989,1930,,2014/10/14,,,read,,,,1,,,0,,,,,
359194,The Lucifer Effect: Understanding How Good People Turn Evil,Philip G. Zimbardo,"Zimbardo, Philip G.",,"=""1400064112""","=""9781400064113""",5,3.95,Random House (NY),Hardcover,551,2007,2007,,2014/10/14,,,read,,,,1,,,0,,,,,
361459,An Unquiet Mind: A Memoir of Moods and Madness,Kay Redfield Jamison,"Jamison, Kay Redfield",,"=""0679763309""","=""9780679763307""",5,4.05,Vintage,Paperback,223,1996,1995,,2014/10/14,,,read,,,,1,,,0,,,,,
2612,The Tipping Point: How Little Things Can Make a Big Difference,Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316346624""","=""9780316346627""",4,3.97,Back Bay Books,Paperback,301,2002,2000,,2014/10/14,,,read,,,,1,,,0,,,,,
11468377,"Thinking, Fast and Slow",Daniel Kahneman,"Kahneman, Daniel",,"=""0374275637""","=""9780374275631""",4,4.15,"Farrar, Straus and Giroux",Hardcover,499,2011,2011,,2014/10/14,,,read,,,,1,,,0,,,,,
389530,Chimpanzee Politics: Power and Sex Among Apes,Frans de Waal,"Waal, Frans de",,"=""0801863368""","=""9780801863363""",5,4.27,Johns Hopkins University Press,Paperback,235,2000,1982,,2014/10/14,,,read,,,,1,,,0,,,,,
769507,Tree of Origin: What Primate Behavior Can Tell Us about Human Social Evolution,Frans de Waal,"Waal, Frans de","William C. McGrew, Robin I.M. Dunbar","=""0674010043""","=""9780674010048""",5,4.17,Harvard University Press,Paperback,320,2002,2001,,2014/10/14,,,read,,,,1,,,0,,,,,
257106,Our Inner Ape: A Leading Primatologist Explains Why We Are Who We Are,Frans de Waal,"Waal, Frans de",,"=""1594481962""","=""9781594481963""",5,4.15,Riverhead Books,Paperback,288,2006,2005,,2014/10/14,,,read,,,,1,,,0,,,,,
13131582,Blindspot: Hidden Biases of Good People,Mahzarin R. Banaji,"Banaji, Mahzarin R.",Anthony G. Greenwald,"=""0553804642""","=""9780553804645""",5,3.74,Delacorte Press,Hardcover,272,2013,2013,,2014/10/14,,,read,,,,1,,,0,,,,,
6052034,The Principle of the Path: How to Get from Where You Are to Where You Want to Be,Andy Stanley,"Stanley, Andy",,"=""0849920604""","=""9780849920608""",0,4.17,Thomas Nelson Publishers,Hardcover,204,2009,2009,,2014/10/14,to-read,to-read (#5),to-read,,,,0,,,0,,,,,
989922,Fields Of Gold,Andy Stanley,"Stanley, Andy",,"=""1414311966""","=""9781414311968""",5,3.98,Tyndale House Publishers,Mass Market Paperback,144,2012,2004,,2014/10/14,,,read,,,,1,,,0,,,,,
3116205,The Prodigal God: Recovering the Heart of the Christian Faith,Timothy J. Keller,"Keller, Timothy J.",,"=""0525950796""","=""9780525950790""",5,4.38,Viking,Hardcover,139,2008,2008,,2014/10/14,,,read,,,,1,,,0,,,,,
265205,Life Application Study Bible: NIV,Anonymous,"Anonymous, Anonymous",Ronald A. Beers,"=""0310919797""","=""9780310919797""",5,4.67,Zondervan Publishing Company,Leather Bound,2400,1997,1992,,2014/10/14,,,read,,,,1,,,0,,,,,
56495,The Purpose Driven Life: What on Earth Am I Here for?,Rick Warren,"Warren, Rick",,"=""0310276993""","=""9780310276999""",5,3.93,Zondervan Publishing Company,Paperback,334,2007,2002,,2014/10/14,,,read,,,,1,,,0,,,,,
3431,The Five People You Meet in Heaven,Mitch Albom,"Albom, Mitch",,"=""1401308589""","=""9781401308582""",4,3.93,Hyperion,Paperback,196,2003,2003,,2014/10/14,,,read,,,,1,,,0,,,,,
213367,Desiring God: Meditations of a Christian Hedonist,John Piper,"Piper, John",,"=""1590521196""","=""9781590521199""",0,4.14,Multnomah Books,Paperback,369,2003,1986,,2014/10/14,to-read,to-read (#4),to-read,,,,0,,,0,,,,,
100915,"The Lion, the Witch and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"Lewis, C.S.",,"=""""","=""""",5,4.21,HarperCollins Publishers,Paperback,206,2005,1950,,2014/10/14,,,read,,,,1,,,0,,,,,
112803,Gandhi: An autobiography,Mahatma Gandhi,"Gandhi, Mahatma",Mahadev Desai,"=""0807059099""","=""9780807059098""",0,4.07,Beacon Press,Paperback,528,1993,1927,,2014/10/14,to-read,to-read (#3),to-read,,,,0,,,0,,,,,
49195,My Life,Bill Clinton,"Clinton, Bill",,"=""140003003X""","=""9781400030033""",5,3.73,Vintage,Paperback,969,2005,2004,,2014/10/14,,,read,,,,1,,,0,,,,,
186190,"Forrest Gump (Forrest Gump, #1)",Winston Groom,"Groom, Winston",,"=""0743453255""","=""9780743453257""",4,4.06,Washington Square Press,Paperback,248,2002,1986,,2014/10/14,,,read,,,,1,,,0,,,,,
88061,Dreams from My Father: A Story of Race and Inheritance,Barack Obama,"Obama, Barack",,"=""1921351438""","=""9781921351433""",3,3.87,New York: Three Rivers Press,Paperback,453,2004,1995,,2014/10/14,,,read,,,,1,,,0,,,,,
17851885,I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai,"Yousafzai, Malala",Christina Lamb,"=""0316322407""","=""9780316322409""",0,4.11,"Little, Brown and Company",Hardcover,327,2013,2012,,2014/10/14,to-read,to-read (#2),to-read,,,,0,,,0,,,,,
19501,"Eat, Pray, Love",Elizabeth Gilbert,"Gilbert, Elizabeth",,"=""0143038419""","=""9780143038412""",4,3.55,Riverhead Books,Paperback,368,2007,2006,,2014/10/14,,,read,,,,1,,,0,,,,,
13912,A Beautiful Mind,Sylvia Nasar,"Nasar, Sylvia",,"=""0571212921""","=""9780571212927""",4,4.13,Faber  Faber,Paperback,461,2002,1998,,2014/10/14,,,read,,,,1,,,0,,,,,
6900,Tuesdays with Morrie,Mitch Albom,"Albom, Mitch",Saulius Dagys,"=""0751529818""","=""9780751529814""",4,4.10,Warner,Paperback,210,2000,1997,,2014/10/14,,,read,,,,1,,,0,,,,,
